content,Score,Scoring String,Negativity,Positivity,Uncovered Tokens,Total Tokens,sentiment
against lembukenacucuk,0,,0,0,2,2,neutral
this is how malaysia treats their civil servants activists amp citizens and you ask the youth why we want to leave the country so bad i stand in solidarity with nalinadap lawan,-0.307692308,want (0.08)  leave (-0.05)  bad (-0.64)  solidarity (0.31),0.692307692,0.384615385,28,32,negative
solidarity with suja and nalina lawan has not stopped,0.076923077,solidarity (0.31)  stopped (-0.23),0.230769231,0.307692308,7,9,positive
thenaufalnazri i saved this before i was afraid to be called because i made a lot of noise hope it helps all the best naufal may allah ease opponents,2.564102564,saved (0.46)  hope (0.49)  helps (0.41)  best (0.82)  ease (0.38),0,2.564102564,24,29,positive
"in fact, the most embarrassing social experiment is not the husband and wife crawling to hit the soup, but the social experiment of malaysian voters during the pru tempohari, if you don't like it, we will exchange it back later, agree socialexperiment against covid umno ismailsabri",0.358974359,embarrassing (-0.41)  like (0.38)  agree (0.38),0.41025641,0.769230769,49,52,positive
opponent,0,,0,0,1,1,neutral
uh to the few people who followed me after my tweet about wong saying macibai here s a few things you need to know i lean left politically i support our lgbtqia friends right to not just live but thrive i am pro vaccine obviously migranjugamanusia lawan,0.974358974,support (0.44)  friends (0.54),0,0.974358974,45,47,positive
"young gang fighters are good at condemning, i don't see a single face for flood relief, they shouldn't stay near there, where do we know the situation in other places is better or worse if they want a clever demonstration, it's west but can't connect",1.615384615,fighters (-0.05)  good (0.49)  relief (0.54)  better (0.49)  worse (-0.54)  want (0.08)  clever (0.51)  demonstration (0.10),0.58974359,2.205128205,45,53,positive
"edimahamg, the people can take over senayan & an independent field for the sake of true independence, bro",0.461538462,true (0.46),0,0.461538462,20,21,positive
nalinadap this is extremely courageous of you nalina wishing you nothing but the best keep inspiring lawan,2.128205128,courageous (0.62)  wishing (0.23)  best (0.82)  inspiring (0.46),0,2.128205128,13,17,positive
iamenahsregor best bro wa respekk u dare to speak out against,0.820512821,best (0.82),0,0.820512821,10,11,positive
"make a mural with a student theme, sub-theme student coli, thesis, buy a picture of yujiyem or the surrounding alammeter, like a great opponent",1.179487179,like (0.38)  great (0.79),0,1.179487179,27,29,positive
once you think you can t do it try to understand it and try to start slowly you will be shocked at what you have done motivate yourself and it s amazing katasemangat hangatstudios malaysiaprihatin kitajagakita lawan merdeka,0.794871795,shocked (-0.33)  motivate (0.41)  amazing (0.72),0.333333333,1.128205128,35,38,positive
baitibasir i think you don t use common sense there are numbers of good people in pn khairuddin he drive the palm oil price to highest in history hisyamuddin hussein manage to get helps from china you need to read newspaper not lawan news,0.897435897,good (0.49)  helps (0.41),0,0.897435897,42,44,positive
"mugiwaraleo aimansalim god's orders, i don't believe i'm ready to fight again, conspiracy theories, i believe",-0.358974359,god (0.28)  ready (0.38)  fight (-0.41)  conspiracy (-0.62),1.025641026,0.666666667,18,22,negative
solidarity with sdri nalina nair is related to her presence at the program to commemorate the victims who fell due to covid organized by the people's solidarity secretariat friends friends are invited to attend please abide by the soup set by the opposing authorities,1.692307692,solidarity (0.31)  victims (-0.33)  solidarity (0.31)  friends (0.54)  friends (0.54)  please (0.33),0.333333333,2.025641026,39,45,positive
again pressed again we oppose solidarity with nalina and suja,0.307692308,solidarity (0.31),0,0.307692308,9,10,positive
in solidarity with nalinadap the charge towards her and suja is absolutely ridiculous because they weren t arrested in the first place lawan lawanintimidasi,-0.615384615,solidarity (0.31)  ridiculous (-0.38)  arrested (-0.54),0.923076923,0.307692308,21,24,negative
rashidyusoff gadgetskii xleh imagine if dsai jd pm mcm fun je borak santai mcm ni mypm lawan,0.58974359,fun (0.59),0,0.58974359,16,17,positive
khairul nadzir merah my choice they are looking for an opponent we are looking for a friend,0.564102564,friend (0.56),0,0.564102564,16,17,positive
red is my choice they want to fight us looking for friends,0.205128205,want (0.08)  fight (-0.41)  friends (0.54),0.41025641,0.615384615,9,12,positive
shame on pdrmsia for further trampling on justice amp basic citizen rights of peaceful assembly and good governance in full solidarity with nalinadap amp suja lawan lawanintimidasi,1.435897436,shame (-0.54)  justice (0.62)  peaceful (0.56)  good (0.49)  solidarity (0.31),0.538461538,1.974358974,22,27,positive
i stand with nalinadap lawan lawanintimidasi,0,,0,0,6,6,neutral
